#doc=loveyourself.2.txt;;;;;;;;;;;;;;
2;span;SPAN;NONLEX;;;;;;;;;NONLEX;SPAN;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;лечь;ЛЕЧЬ;V pf - - inf - -;;;ь;ч;е;л;;;V;ЛЕЧЬ;V pf - - inf - -
2;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
3;думать;ДУМАТЬ;V ipf - - inf - -;;;ь;т;а;м;у;д;V;ДУМАТЬ;V ipf - - inf - -
4;о;О;PR;;;о;;;;;;PR;О;PR
5;том;ТО;SPRO  - loc sg;;;м;о;т;;;;S;ТО;S n - loc sg
6;как;КАК;CONJ;;;к;а;к;;;;CONJ;КАК;CONJ
7;все;ВЕСЬ ;APPRO - - nom ;;;е;с;в;;;;S;ВСЕ;S - - nom pl
8;плохо;ПЛОХО;PRAEDIC;;;о;х;о;л;п;;ADV;ПЛОХО;ADV -
9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
10;нет;НЕТ;PART;;;т;е;н;;;;PART;НЕТ;PART
11;нужно;НУЖНО;PRAEDIC;;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
12;бороться;БОРОТЬСЯ;V ipf - - inf - -;;;я;с;ь;т;о;р;V;БОРОТЬСЯ;V ipf - - inf - -
13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
14;нужно;НУЖНО;PRAEDIC;;;о;н;ж;у;н;;ADV;НУЖНО;ADV -
15;бороться;БОРОТЬСЯ;V ipf - - inf - -;;;я;с;ь;т;о;р;V;БОРОТЬСЯ;V ipf - - inf - -
16;за;ЗА;PR;;;а;з;;;;;PR;ЗА;PR
17;свою;СВОЙ;APPRO - acc sg  f -;;;ю;о;в;с;;;A;СВОЙ;A - acc sg plen f -
18;счастливую;СЧАСТЛИВЫЙ;A - acc sg plen f -;;;ю;у;в;и;л;т;A;СЧАСТЛИВЫЙ;A - acc sg plen f -
19;жизнь;ЖИЗНЬ;S f inan acc sg;;;ь;н;з;и;ж;;S;ЖИЗНЬ;S f inan acc sg
20;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
21;ээ..;Э;NONLEX;раздельно с многоточием;;;;э;э;;;NONLEX;ЭЭ..;NONLEX
22;понимать;ПОНИМАТЬ;V ipf - - inf - -;;;ь;т;а;м;и;н;V;ПОНИМАТЬ;V ipf - - inf - -
23;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
24;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
25;только;ТОЛЬКО;PART;PART/CONJ/ADV;;о;к;ь;л;о;т;PART;ТОЛЬКО;PART
26;ты;ТЫ;SPRO sg 2p - nom;;;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom
27;можешь;МОЧЬ;V ipf praes sg indic - 2p;;;ь;ш;е;ж;о;м;V;МОЧЬ;V ipf praes sg indic - 2p
28;изменить;ИЗМЕНИТЬ;V pf - - inf - -;;;ь;т;и;н;е;м;V;ИЗМЕНИТЬ;V pf - - inf - -
29;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
30;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
31;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
32;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
33;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
34;ео;ЕЕ;SPRO sg acc f 3p;distort;;о;е;;;;;NONLEX;ЕО;NONLEX
35;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
36;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
37;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;её;ОНА;SPRO sg 3p f acc;;;ё;е;;;;;SPRO;ОНА;SPRO sg 3p f acc
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2;то есть;то есть;-;я считаю что тут ZERO;;ь;т;с;е;;о;-;то есть;-
3;никто;НИКТО;SPRO  - nom sg;;;о;т;к;и;н;;S;НИКТО;S m - nom sg
4;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
5;придет;ПРИЙТИ;V pf fut sg indic - 3p;;;т;е;д;и;р;п;V;ПРИЙТИ;V pf fut sg indic - 3p
6;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
7;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
8;спасет;СПАСТИ;V pf fut sg indic - 3p;;;т;е;с;а;п;с;V;СПАСТИ;V pf fut sg indic - 3p
9;тебя;ТЫ;SPRO sg 2p - acc;;;я;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - acc
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;никто;НИКТО;SPRO m - nom sg anim;;;о;т;к;и;н;;S;НИКТО;S m - nom sg
12;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
13;придет;ПРИЙТИ;V pf fut sg indic - 3p;;;т;е;д;и;р;п;V;ПРИЙТИ;V pf fut sg indic - 3p
14;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
15;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
16;будет;БЫТЬ;V ipf fut sg indic - 3p;;;т;е;д;у;б;;V;БЫТЬ;V ipf praes sg indic - 3p
17;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
18;там;ТАМ;PART;;;м;а;т;;;;ADV;ТАМ;ADV -
19;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
20;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
21;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
22;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
23;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
24;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
25;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
26;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
27;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
28;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
29;изм;ИЗМ;nonLEX;слитно;;м;з;и;;;;S;ИЗМ;S m inan acc sg
30;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
31;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
32;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;изменять;ИЗМЕНЯТЬ;V ipf - - inf - -;;;ь;т;я;н;е;м;V;ИЗМЕНЯТЬ;V ipf - - inf - -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;изменять;ИЗМЕНЯТЬ;V ipf - - inf - -;;;ь;т;я;н;е;м;V;ИЗМЕНЯТЬ;V ipf - - inf - -
2;твою;ТВОЙ;APPRO - acc sg f -;;;ю;о;в;т;;;A;ТВОЙ;A - acc sg plen f -
3;жизнь;ЖИЗНЬ;S f inan acc sg;;;ь;н;з;и;ж;;S;ЖИЗНЬ;S f inan acc sg
4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
5;никто;НИКТО;SPRO  - nom anim sg;;;о;т;к;и;н;;S;НИКТО;S m - nom sg
6;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
7;будет;БЫТЬ;V ipf fut sg indic - 3p;;;т;е;д;у;б;;V;БЫТЬ;V ipf praes sg indic - 3p
8;наводить;НАВОДИТЬ;V ipf - - inf - -;;;ь;т;и;д;о;в;V;НАВОДИТЬ;V ipf - - inf - -
9;в;В;PR;;;в;;;;;;PR;В;PR
10;ней;ОНА;SPRO sg 3p f loc;;;й;е;н;;;;SPRO;ОНА;SPRO sg 3p f loc
11;порядок;ПОРЯДОК;S m inan acc sg;;;к;о;д;я;р;о;S;ПОРЯДОК;S m inan acc sg
12;–;–;PUNC;;;;;;;;;PUNC;–;PUNC
13;это;ЭТО;SPRO n - nom sg;;;о;т;э;;;;S;ЭТО;S n - acc sg
14;все;ВCЕ;SPRO - - nom ;;;е;с;в;;;;S;ВСЕ;S - - acc pl
15;зависит;ЗАВИСЕТЬ;V ipf praes sg indic - 3p;;;т;и;с;и;в;а;V;ЗАВИСЕТЬ;V ipf praes sg indic - 3p
16;только;ТОЛЬКО;PART;;;о;к;ь;л;о;т;PART;ТОЛЬКО;PART
17;от;ОТ;PR;;;т;о;;;;;PR;ОТ;PR
18;нас;МЫ;SPRO pl 1p - gen;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
19;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
20;..;..;SENT;;;;;;;;;SENT;..;SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
5;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
6;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
7;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
8;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
9;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
10;смих;Сам;APPRO  inan gen pl;distort;;х;и;м;с;;;S;СМИХА;S f inan gen pl
11;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
12;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
13;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;самих;САМ;APPRO - gen pl plen - -;;;х;и;м;а;с;;A;САМ;A - gen pl plen - -
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;И;И;CONJ;;;и;;;;;;CONJ;И;CONJ
2;это;ЭТО;SPPRO n - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
3;как минимум;как минимум;-;раздельно;;м;у;м;и;н;и;-;как минимум;-
4;залог;ЗАЛОГ;S m inan nom sg;;;г;о;л;а;з;;S;ЗАЛОГ;S m inan nom sg
5;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
6;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
7;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
8;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
9;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;ккраз;как раз;-;раздельно;;з;а;р;к;к;;S;ККРАЗ;S m inan acc sg
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
7;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
8;как раз;как раз;-;раздельно;;з;а;р;;к;а;-;как раз;-
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
11;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;кхм..;КХМ;INTJ;раздельно с многоточием;;;;м;х;к;;NONLEX;КХМ..;NONLEX
7;успеха;УСПЕХ;S m inan gen sg;;;а;х;е;п;с;у;S;УСПЕХ;S m inan gen sg
8;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;Диана;ДИАНА;S f anim nom sg;;;а;н;а;и;д;;S;ДИАНА;S f anim nom sg
2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
3;Амм..;АМ;INTJ;раздельно с многоточием;;;;м;м;а;;S;АММА..;S m inan gen sg
4;еще;ЕЩЕ;ADV -;;;е;щ;е;;;;ADV;ЕЩЕ;ADV -
5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
6;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
7;недавно;НЕДАВНО;ADV -;;;о;н;в;а;д;е;ADV;НЕДАВНО;ADV -
8;прочитала;ПРОЧЕСТЬ;V pf praet sg indic f -;;;а;л;а;т;и;ч;V;ПРОЧЕСТЬ;V pf praet sg indic f -
9;такую;ТАКОЙ;APPRO - acc sg f -;;;ю;у;к;а;т;;A;ТАКОЙ;A - acc sg plen f -
10;мысль;МЫСЛЬ;S f inan acc sg;;;ь;л;с;ы;м;;S;МЫСЛЬ;S f inan acc sg
11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
12;насчет;НАСЧЕТ;PR;;;т;е;ч;с;а;н;PR;НАСЧЕТ;PR
13;того;ТО;APPRO n - gen sg;;;о;г;о;т;;;S;ТО;S n - gen sg
14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
15;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
16;ээ;Э;NONLEX;;;э;э;;;;;NONLEX;ЭЭ;NONLEX
17;..;..;SENT;;;;;;;;;SENT;..;SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
5;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
6;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
7;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
8;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
9;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
10;все;ВЕСЬ;APPRO nom sg n;DISTORT;;е;с;в;;;;PART;ВСЕ;PART
11;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
12;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
13;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;всё;ВСЕ;SPRO nom sg n;;;ё;с;в;;;;PART;ВСЕ;PART
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;всё;ВСЕ;SPRO nom sg n;;;ё;с;в;;;;S;ВСЕ;S n - nom sg
2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
3;что;ЧТО;CONJ;;;о;т;ч;;;;S;ЧТО;S n inan acc sg
4;придумали;ПРИДУМАТЬ;V pf praet pl indic - -;;;и;л;а;м;у;д;V;ПРИДУМАТЬ;V pf praet pl indic - -
5;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
6;эти;ЭТОТ;APPRO - nom pl  - -;;;и;т;э;;;;A;ЭТОТ;A - nom pl plen - -
7;«;«;PUNC;;;;;;;;;PUNC;«;PUNC
8;гении;ГЕНИЙ;S m anim nom pl;;;и;и;н;е;г;;S;ГЕНИЙ;S m anim nom pl
9;»;»;PUNC;;;;;;;;;PUNC;»;PUNC
10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
11;это;ЭТО;SPRO n - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
12;то;ТО;SPRO n - nom sg;;;о;т;;;;;S;ТО;S n - nom sg
13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
14;о;О;PR;;;о;;;;;;PR;О;PR
15;чем;ЧТО;SPRO n - loc  sg;;;м;е;ч;;;;S;ЧТО;S n - ins sg
16;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
17;задумывались;ЗАДУМЫВАТЬСЯ;V ipf praet pl indic - -;;;ь;с;и;л;а;в;V;ЗАДУМЫВАТЬСЯ;V ipf praet pl indic - -
18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
19;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
20;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
21;сами;САМ;APPRO - nom pl  - -;;;и;м;а;с;;;A;САМ;A - nom pl plen - -
22;эти;ЭТОТ;Appro - acc pl plen - -;;;и;т;э;;;;A;ЭТОТ;A - nom pl plen - -
23;мысли;МЫСЛЬ;S f inan acc pl;;;и;л;с;ы;м;;S;МЫСЛЬ;S f inan nom pl
24;отвергали;ОТВЕРГАТЬ;V ipf praet pl indic - -;;;и;л;а;г;р;е;V;ОТВЕРГАТЬ;V ipf praet pl indic - -
25;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;То есть;То есть;ZERO;;;ь;т;с;е;;о;-;То есть;-
2;все;ВЕСЬ;APPRO - nom pl  - -;;;е;с;в;;;;A;ВЕСЬ;A - nom pl plen - -
3;эти;ЭТОТ;APPRO - nom pl  - -;;;и;т;э;;;;A;ЭТОТ;A - nom pl plen - -
4;гении;ГЕНИЙ;S m anim nom pl;;;и;и;н;е;г;;S;ГЕНИЙ;S m anim nom pl
5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
6;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
7;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
8;отличаются;ОТЛИЧАТЬСЯ;V ipf praes pl indic - 3p;;;я;с;т;ю;а;ч;V;ОТЛИЧАТЬСЯ;V ipf praes pl indic - 3p
9;как-то;КАК-ТО;ADVPRO -;;;о;т;;к;а;к;ADV;КАК-ТО;ADV -
10;от;ОТ;PR;;;т;о;;;;;PR;ОТ;PR
11;нас;МЫ;SPRO pl 1p - gen;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
12;в;В;PR;;;в;;;;;;PR;В;PR
13;плане;ПЛАН;S m inan loc sg;;;е;н;а;л;п;;S;ПЛАН;S m inan loc sg
14;того;ТО;APPRO  - gen sg;;;о;г;о;т;;;S;ТО;S n - gen sg
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
17;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
18;какие-то;КАКОЙ-ТО;APPRO - nom pl plen - -;;;о;т;;е;и;к;A;КАКОЙ-ТО;A - nom pl plen - -
19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
20;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
21;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
22;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
23;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
24;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
25;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
26;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
27;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
28;очч;очень;ADV-;distort;;ч;ч;о;;;;S;ОЧЧА;S f inan gen pl
29;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
30;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
31;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;очень;ОЧЕНЬ;ADV-;;;л;ь;н;е;ч;о;NONLEX;ОЧЕНЬЛ;NONLEX
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;умные;УМНЫЙ;A - nom pl plen - -;;;е;ы;н;м;у;;A;УМНЫЙ;A - nom pl plen - -
2;или;ИЛИ;CONJ;;;и;л;и;;;;CONJ;ИЛИ;CONJ
3;там..;ТАМ;PART;раздельно с многоточием;;;;м;а;т;;ADV;ТАМ..;ADV -
4;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
5;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p
6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
7;у;У;PR;;;у;;;;;;PR;У;PR
8;них;ОНИ;SPRO pl - - gen;;;х;и;н;;;;SPRO;ОНИ;SPRO pl - - loc
9;какие-то;КАКОЙ-ТО;APPRO - nom pl plen - -;;;о;т;;е;и;к;A;КАКОЙ-ТО;A - nom pl plen - -
10;другие;ДРУГОЙ;A - nom pl plen - -;;;е;и;г;у;р;д;A;ДРУГОЙ;A - nom pl plen - -
11;class;CLASS;NONLEX;;;;;;;;;NONLEX;CLASS;NONLEX
12;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
13;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
14;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
15;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
16;note;NOTE;NONLEX;;;;;;;;;NONLEX;NOTE;NONLEX
17;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
18;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
19;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;Смех;СМЕХ;-;;;х;е;м;с;;;S;СМЕХ;S m inan nom sg
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;span;SPAN;NONLEX;;;;;;;;;NONLEX;SPAN;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;образы;ОБРАЗ;S m inan nom pl;;;ы;з;а;р;б;о;S;ОБРАЗ;S m inan nom pl
2;мыслей;МЫСЛЬ;S f inan gen pl;;;й;е;л;с;ы;м;S;МЫСЛЬ;S f inan gen pl
3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
4;на;НА;PR;;;а;н;;;;;PR;НА;PR
5;самом;САМЫЙ;APPRO - loc sg plen n -;;;м;о;м;а;с;;A;САМЫЙ;A - loc sg plen n -
6;деле;ДЕЛО;S n inan loc sg;;;е;л;е;д;;;S;ДЕЛО;S n inan loc sg
7;мы;МЫ;SPRO pl 1p - nom;;;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom
8;тоже;ТОЖЕ;PART;;;е;ж;о;т;;;PART;ТОЖЕ;PART
9;в;В;PR;;;в;;;;;;PR;В;PR
10;нашей;НАШ;APPRO - loc sg plen f -;;;й;е;ш;а;н;;A;НАШ;A - gen sg plen f -
11;повседневной;ПОВСЕДНЕВНЫЙ;A - loc sg plen f -;;;й;о;н;в;е;н;A;ПОВСЕДНЕВНЫЙ;A - gen sg plen f -
12;жизни;ЖИЗНЬ;S f inan loc sg;;;и;н;з;и;ж;;S;ЖИЗНЬ;S f inan gen sg
13;задумываемся;ЗАДУМЫВАТЬСЯ;V ipf praes pl indic - 1p;;;я;с;м;е;а;в;V;ЗАДУМЫВАТЬСЯ;V ipf praes pl indic - 1p
